,,,
Debit/Credit Card in HTG,"701,500.00 G",Haiti,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Haiti,University of Washington receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Heard Island and McDonald Islands,University of Washington receives
VISA: Debit/Credit in AUD,"A$14,210.00",Heard Island and McDonald Islands,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Heard Island and McDonald Islands,University of Washington receives
Debit/Credit Card in HNL,"L252,600.00",Honduras,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Honduras,University of Washington receives
Debit/Credit Card in CDF,"16,926,000.00 FC",Hong Kong,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Hong Kong,University of Washington receives
International Bank Transfer in South African Rand (ZAR),"R139,469.00",Hong Kong,University of Washington receives
Debit/Credit Card in HUF,"2.949.474,00 Ft",Hungary,University of Washington receives
Bank Transfer from a Hungarian Forint (HUF) Account,"2.893.075,00 Ft",Hungary,University of Washington receives
Online Bank Transfer,"2.893.075,00 Ft",Hungary,University of Washington receives
,,Hungary,University of Washington receives
,,Hungary,University of Washington receives
,,Hungary,University of Washington receives
,,Hungary,University of Washington receives
,,Hungary,University of Washington receives
,,Hungary,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.823,00 €",Iceland,University of Washington receives
VISA: Debit/Credit in EUR,"8.909,00 €",Iceland,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.909,00 €",Iceland,University of Washington receives
American Express in EUR,"8.909,00 €",Iceland,University of Washington receives
PayPal in EUR,"8.995,00 €",Iceland,University of Washington receives
Online Bank Transfer,"8.823,00 €",Iceland,University of Washington receives
,,Iceland,University of Washington receives
Domestic Bank Transfer in Indian Rupees,"?696,921.00",India,University of Washington receives
VISA: Debit/Credit in INR,"?721,449.00",India,University of Washington receives
MasterCard: Debit/Credit in INR,"?721,449.00",India,University of Washington receives
,,India,University of Washington receives
Debit/Credit Card in IDR,"Rp149.730.000,00",Indonesia,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Indonesia,University of Washington receives
International Bank Transfer in Euros (EUR),"8.824,00 €",Indonesia,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,777.00",Indonesia,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Iraq,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.824,00 €",Ireland,University of Washington receives
VISA: Debit/Credit in EUR,"8.910,00 €",Ireland,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.910,00 €",Ireland,University of Washington receives
American Express in EUR,"8.910,00 €",Ireland,University of Washington receives
PayPal in EUR,"8.995,00 €",Ireland,University of Washington receives
Online Bank Transfer,"8.824,00 €",Ireland,University of Washington receives
,,Ireland,University of Washington receives
American Express in GBP,"£7,853.00",Isle of Man,University of Washington receives
VISA: Debit/Credit in GBP,"£7,853.00",Isle of Man,University of Washington receives
MasterCard: Debit/Credit in GBP,"£7,853.00",Isle of Man,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,778.00",Isle of Man,University of Washington receives
,,Isle of Man,University of Washington receives
Bank Transfer in Israeli Shekels (ILS),"?37,367.00",Israel,University of Washington receives
Debit/Credit Card in ILS,"?38,351.00",Israel,University of Washington receives
,,Israel,University of Washington receives
,,Israel,University of Washington receives
,,Israel,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.824,00 €",Italy,University of Washington receives
VISA: Debit/Credit in EUR,"8.909,00 €",Italy,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.909,00 €",Italy,University of Washington receives
American Express in EUR,"8.909,00 €",Italy,University of Washington receives
PayPal in EUR,"8.995,00 €",Italy,University of Washington receives
Online Bank Transfer,"8.824,00 €",Italy,University of Washington receives
,,Italy,University of Washington receives
Debit/Credit Card in JMD,"J$1,377,300.00",Jamaica,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jamaica,University of Washington receives
Bank Transfer in Japanese Yen (JPY),"¥1,130,900",Japan,University of Washington receives
VISA: Debit/Credit in JPY,"¥1,158,900",Japan,University of Washington receives
MasterCard: Debit/Credit in JPY,"¥1,158,900",Japan,University of Washington receives
American Express in JPY,"¥1,158,900",Japan,University of Washington receives
,,Japan,University of Washington receives
,,Japan,University of Washington receives
American Express in GBP,"£7,853.00",Jersey,University of Washington receives
VISA: Debit/Credit in GBP,"£7,853.00",Jersey,University of Washington receives
MasterCard: Debit/Credit in GBP,"£7,853.00",Jersey,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,778.00",Jersey,University of Washington receives
,,Jersey,University of Washington receives
Debit/Credit Card in JOD,"?.?7,472.00",Jordan,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Jordan,University of Washington receives
Debit/Credit Card in KZT,"3,586,200.00 KZT",Kazakhstan,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kazakhstan,University of Washington receives
Debit/Credit Card in KES,"KSh1,064,676.00",Kenya,University of Washington receives
International Bank Transfer in Euros (EUR),"8.824,00 €",Kenya,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kenya,University of Washington receives
MasterCard: Debit/Credit in AUD,"A$14,210.00",Kiribati,University of Washington receives
VISA: Debit/Credit in AUD,"A$14,210.00",Kiribati,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Kiribati,University of Washington receives
